postcode,lsoa_2021_code,pna_locality,local_authority
DT2 0HA,E01020529,West,Dorset
DT2 0HB,E01020529,West,Dorset
DT2 0HD,E01020529,West,Dorset
DT2 0HF,E01020529,West,Dorset
DT2 0HG,E01020529,West,Dorset
DT2 0HH,E01020529,West,Dorset
DT2 0HJ,E01020529,West,Dorset
DT2 0HQ,E01020529,West,Dorset
DT2 0HU,E01020529,West,Dorset
DT2 0HY,E01020529,West,Dorset
DT2 0HZ,E01020529,West,Dorset
DT2 0JA,E01020529,West,Dorset
DT2 0JB,E01020529,West,Dorset
DT2 0JD,E01020529,West,Dorset
DT2 0JE,E01020529,West,Dorset
DT2 0JF,E01020529,West,Dorset
DT2 0JG,E01020529,West,Dorset
DT2 0JH,E01020529,West,Dorset
DT2 0JJ,E01020529,West,Dorset
DT2 0JL,E01020529,West,Dorset
DT2 0JN,E01020529,West,Dorset
DT2 0JQ,E01020529,West,Dorset
DT2 0LG,E01020529,West,Dorset
DT2 0LH,E01020529,West,Dorset
DT2 0LJ,E01020529,West,Dorset
DT2 0LL,E01020529,West,Dorset
DT2 0LQ,E01020529,West,Dorset
DT2 8AA,E01020505,Mid,Dorset
DT2 8AB,E01020505,Mid,Dorset
DT2 8AD,E01020505,Mid,Dorset
DT2 8AE,E01020505,Mid,Dorset
DT2 8AF,E01020505,Mid,Dorset
DT2 8AG,E01020505,Mid,Dorset
DT2 8AH,E01020505,Mid,Dorset
DT2 8AJ,E01020505,Mid,Dorset
DT2 8AL,E01020505,Mid,Dorset
DT2 8AN,E01020505,Mid,Dorset
DT2 8AP,E01020505,Mid,Dorset
DT2 8AQ,E01020505,Mid,Dorset
DT2 8AR,E01020505,Mid,Dorset
DT2 8AW,E01020505,Mid,Dorset
DT2 8ED,E01020505,Mid,Dorset
DT2 8EE,E01020505,Mid,Dorset
DT2 8EF,E01020505,Mid,Dorset
DT2 8EG,E01020505,Mid,Dorset
DT2 8EH,E01020505,Mid,Dorset
DT2 8EJ,E01020505,Mid,Dorset
DT2 8EL,E01020505,Mid,Dorset
DT2 8EN,E01020505,Mid,Dorset
DT2 8EP,E01020505,Mid,Dorset
DT2 8EQ,E01020505,Mid,Dorset
DT2 8ER,E01020505,Mid,Dorset
DT2 8ES,E01020505,Mid,Dorset
DT2 8ET,E01020505,Mid,Dorset
DT2 8EU,E01020505,Mid,Dorset
DT2 8EW,E01020505,Mid,Dorset
DT2 8EX,E01020505,Mid,Dorset
DT2 8EY,E01020505,Mid,Dorset
DT2 8EZ,E01020505,Mid,Dorset
DT2 8HA,E01020505,Mid,Dorset
DT2 8LS,E01020505,Mid,Dorset
DT2 8LT,E01020505,Mid,Dorset
DT2 8LU,E01020505,Mid,Dorset
DT2 8LX,E01020505,Mid,Dorset
DT2 8NZ,E01020505,Mid,Dorset
DT2 8PB,E01020505,Mid,Dorset
DT2 8PD,E01020505,Mid,Dorset
DT2 8PE,E01020505,Mid,Dorset
DT2 8PF,E01020505,Mid,Dorset
DT2 8PG,E01020505,Mid,Dorset
DT2 8PH,E01020505,Mid,Dorset
DT2 8PJ,E01020505,Mid,Dorset
DT2 8PL,E01020505,Mid,Dorset
DT2 8PN,E01020505,Mid,Dorset
DT2 8PP,E01020505,Mid,Dorset
DT2 8PQ,E01020505,Mid,Dorset
DT2 8PW,E01020505,Mid,Dorset
DT2 8UA,E01020505,Mid,Dorset
DT2 8UB,E01020505,Mid,Dorset
DT2 9DX,E01020529,Mid,Dorset
DT2 9DY,E01020529,Mid,Dorset
DT2 9DZ,E01020529,Mid,Dorset
DT2 9ET,E01020529,Mid,Dorset
DT2 9NA,E01020529,Mid,Dorset
DT2 9NB,E01020529,Mid,Dorset
DT2 9ND,E01020529,Mid,Dorset
DT2 9NE,E01020529,Mid,Dorset
DT2 9NF,E01020529,Mid,Dorset
DT2 9NG,E01020529,Mid,Dorset
DT2 9NH,E01020529,Mid,Dorset
DT2 9NJ,E01020529,Mid,Dorset
DT2 9NL,E01020529,Mid,Dorset
DT2 9NN,E01020529,Mid,Dorset
DT2 9NP,E01020529,Mid,Dorset
DT2 9NQ,E01020529,Mid,Dorset
DT2 9NR,E01020529,Mid,Dorset
DT2 9NS,E01020529,Mid,Dorset
DT2 9NT,E01020529,Mid,Dorset
DT2 9NU,E01020529,Mid,Dorset
DT2 9NW,E01020529,Mid,Dorset
DT2 9NX,E01020529,Mid,Dorset
DT2 9NY,E01020529,Mid,Dorset
DT2 9NZ,E01020529,Mid,Dorset
DT2 9PA,E01020529,Mid,Dorset
